"","ticker","name","sector","industry","PE_ratio","market_cap","short_name"
"294","MMM","3M Company","Industrials","Conglomerates",10.339876,60379298594,"3M"
"295","MNST","Monster Beverage Corporation","Consumer Defensive","Beverages—Non-Alcoholic",39.057627,59939826058,"Monst. Bev."
"296","MO","Altria Group, Inc.","Consumer Defensive","Tobacco",8.232653,71347206829,"Altria"
"297","MOH","Molina Healthcare Inc","Healthcare","Healthcare Plans",22.511526,21064373000,"Molina Hea."
"298","MOS","Mosaic Company (The)","Basic Materials","Agricultural Inputs",9.04557,11677830807,"Mosaic"
"299","MPC","Marathon Petroleum Corporation","Energy","Oil & Gas Refining & Marketing",5.596379,56331888015,"Marat. Pet."
"300","MPWR","Monolithic Power Systems, Inc.","Technology","Semiconductors",68.340195,30221931360,"Mono. Po. Sy."
"301","MRK","Merck & Company, Inc.","Healthcare","Drug Manufacturers—General",60.566667,276259196617,"Merck"
"302","MRNA","Moderna, Inc.","Healthcare","Biotechnology",35.864583,37918693402,"Moderna"
"303","MRO","Marathon Oil Corporation","Energy","Oil & Gas E&P",8.785455,14139576169,"Marat. Oil"
"304","MS","Morgan Stanley","Financial Services","Capital Markets",16.651786,153052304835,"Morgan Sta."
"305","MSCI","MSCI Inc.","Financial Services","Financial Data & Stock Exchanges",47.176814,44737931623,"MSCI"
"306","MSFT","Microsoft Corporation","Technology","Software—Infrastructure",36.437985,2794827926197,"Microsoft"
"307","MSI","Motorola Solutions, Inc.","Technology","Communication Equipment",31.65723,51963073281,"Motor. Sol."
"308","MTB","M&T Bank Corporation","Financial Services","Banks—Regional",7.860092,22749842447,"T Bank"
"309","MTCH","Match Group, Inc.","Communication Services","Internet Content & Information",20.621469,9921122122,"Match"
"310","MTD","Mettler-Toledo International, I","Healthcare","Diagnostics & Research",30.942857,26301584473,"Mett. To. In."
"311","MU","Micron Technology, Inc.","Technology","Semiconductors",48.368794,84036480000,"Micron Tec."
"312","NDAQ","Nasdaq, Inc.","Financial Services","Financial Data & Stock Exchanges",26.071749,33544720099,"Nasdaq"
"313","NDSN","Nordson Corporation","Industrials","Specialty Industrial Machinery",29.754137,14377114163,"Nordson"
"314","NEE","NextEra Energy, Inc.","Utilities","Utilities—Regulated Electric",16.026385,124620728188,"NextE. Ene."
"315","NEM","Newmont Corporation","Basic Materials","Gold",38.688525,47701636429,"Newmont"
"316","NFLX","Netflix, Inc.","Communication Services","Entertainment",48.590818,213097477242,"Netflix"
"317","NI","NiSource Inc","Utilities","Utilities—Regulated Gas",17.7,10976179958,"NiSource"
"318","NKE","Nike, Inc.","Consumer Cyclical","Footwear & Accessories",34.033951,167268259978,"Nike"
"319","NOC","Northrop Grumman Corporation","Industrials","Aerospace & Defense",15.394278,70592050104,"North. Gru."
"320","NOW","ServiceNow, Inc.","Technology","Software—Application",91.277778,144869306950,"ServiceNow"
"321","NRG","NRG Energy, Inc.","Utilities","Utilities—Independent Power Producers",6.632495,11672021341,"NRG Energy"
"322","NSC","Norfolk Southern Corporation","Industrials","Railroads",25.890471,53454106630,"Norfo. Sou."
"323","NTAP","NetApp, Inc.","Technology","Computer Hardware",26.91358,17965907298,"NetApp"
"324","NTRS","Northern Trust Corporation","Financial Services","Asset Management",16.011385,17469728900,"Northern"
"325","NUE","Nucor Corporation","Basic Materials","Steel",8.803237,42785819385,"Nucor"
"326","NVDA","NVIDIA Corporation","Technology","Semiconductors",81.170185,1516025280000,"NVIDIA"
"327","NVR","NVR, Inc.","Consumer Cyclical","Residential Construction",12.734203,19466185052,"NVR"
"328","NWS","News Corporation","Communication Services","Entertainment",107.166667,14202264910,"News"
"329","NXPI","NXP Semiconductors N.V.","Technology","Semiconductors",21.306122,59203074973,"NXP Se. N"
"330","O","Realty Income Corporation","Real Estate","REIT—Retail",43.5,41569177074,"Realty ome"
